工序,月份,VRT,VFG,ICC,描述,C_count,0MIS_count,当班_count,样本量
焊接,202608,车身外饰,外观,焊接/车身变形,车身总成变形,53,0,33,11958
涂装,202605,涂装,外观,涂装/色差,前后门色差,84,0,55,8645
涂装,202605,涂装,外观,涂装/针孔,侧围针孔,43,0,26,8645
涂装,202605,涂装,外观,涂装/缩孔,顶盖缩孔,26,0,15,8645
涂装,202605,涂装,外观,涂装/颗粒,前保险杠颗粒,25,0,17,8645
涂装,202605,涂装,外观,涂装/划伤,整车划伤,62,0,44,8645
涂装,202606,涂装,外观,涂装/针孔,侧围针孔,108,0,68,8575
涂装,202606,涂装,外观,涂装/缩孔,顶盖缩孔,89,0,47,8575
涂装,202606,涂装,外观,涂装/划伤,整车划伤,148,0,96,8575
涂装,202607,涂装,外观,涂装/流挂,前盖流挂,70,0,43,8496
涂装,202607,涂装,外观,涂装/缩孔,顶盖缩孔,40,0,28,8496
涂装,202607,涂装,外观,涂装/颗粒,前保险杠颗粒,157,0,95,8496
涂装,202608,涂装,外观,涂装/色差,前后门色差,133,0,79,8624
涂装,202608,涂装,外观,涂装/流挂,前盖流挂,39,0,27,8624
涂装,202608,涂装,外观,涂装/针孔,侧围针孔,36,0,23,8624
涂装,202608,涂装,外观,涂装/缩孔,顶盖缩孔,18,0,12,8624
涂装,202608,涂装,外观,涂装/颗粒,前保险杠颗粒,75,0,45,8624
总装,202605,车身外饰,外观,装配/间隙,前后保险杠间隙不均,93,0,57,30429
总装,202605,车身外饰,外观,装配/徽标灯,前徽标灯间隙,136,0,80,30429
总装,202605,车身外饰,外观,装配/油箱盖,油箱盖间隙,64,0,46,30429
总装,202605,车身内饰,外观,装配/折痕,后顶棚折痕,134,0,89,30429
总装,202605,车身内饰,外观,装配/内饰异响,仪表台异响,32,0,17,30429
总装,202605,电器,功能性能,装配/搭铁,中控箱搭铁无固定孔,207,200,146,30429
总装,202605,电器,功能性能,电检/清码,清码不合格,124,98,70,30429
总装,202605,电器,功能性能,电检/初始化,IBCU初始化不合格,93,70,60,30429
总装,202605,电器,功能性能,电检/刷写,ECU未刷写,62,62,40,30429
总装,202605,电器,功能性能,电检/以太网,以太网故障,64,74,37,30429
总装,202605,车辆工程,功能性能,装配/未装,零部件未装,115,116,60,30429
总装,202605,车辆工程,功能性能,装配/扭矩,紧固扭矩不足,58,57,31,30429
总装,202606,车身外饰,外观,装配/徽标灯,前徽标灯间隙,144,0,95,29456
总装,202606,车身外饰,外观,装配/拉手,左前外开拉手间隙,78,0,53,29456
总装,202606,车身外饰,外观,装配/前保面差,前保险杠面差,95,0,55,29456
总装,202606,车身内饰,外观,装配/黑膜,整车黑膜错贴,133,0,73,29456
总装,202606,车身内饰,外观,装配/内饰异响,仪表台异响,83,0,58,29456
总装,202606,电器,功能性能,装配/搭铁,中控箱搭铁无固定孔,207,197,133,29456
总装,202606,电器,功能性能,电检/清码,清码不合格,201,117,117,29456
总装,202606,电器,功能性能,电检/初始化,IBCU初始化不合格,109,74,65,29456
总装,202606,电器,功能性能,电检/车机,车机旋转不到位,89,89,49,29456
总装,202606,电器,功能性能,电检/安规,安规无法测试,68,64,43,29456
总装,202606,车辆工程,功能性能,装配/未装,零部件未装,78,73,47,29456
总装,202607,车身外饰,外观,装配/间隙,前后保险杠间隙不均,437,0,283,30294
总装,202607,车身外饰,外观,装配/徽标灯,前徽标灯间隙,388,0,232,30294
总装,202607,车身外饰,外观,装配/拉手,左前外开拉手间隙,45,0,29,30294
总装,202607,车身外饰,外观,装配/前保面差,前保险杠面差,72,0,45,30294
总装,202607,车身内饰,外观,装配/黑膜,整车黑膜错贴,358,0,245,30294
总装,202607,车身内饰,外观,装配/内饰异响,仪表台异响,60,0,35,30294
总装,202607,电器,功能性能,装配/搭铁,中控箱搭铁无固定孔,382,251,231,30294
总装,202607,电器,功能性能,装配/线束,线束干涉,152,110,100,30294
总装,202607,电器,功能性能,电检/清码,清码不合格,95,89,65,30294
总装,202607,电器,功能性能,电检/初始化,IBCU初始化不合格,99,74,56,30294
总装,202607,电器,功能性能,电检/车机,车机旋转不到位,42,35,27,30294
总装,202607,电器,功能性能,电检/以太网,以太网故障,46,42,32,30294
总装,202607,车辆工程,功能性能,装配/未装,零部件未装,104,60,68,30294
总装,202607,车辆工程,功能性能,装配/扭矩,紧固扭矩不足,54,36,29,30294
总装,202608,车身外饰,外观,装配/徽标灯,前徽标灯间隙,637,0,387,29488
总装,202608,车身外饰,外观,装配/拉手,左前外开拉手间隙,114,0,79,29488
总装,202608,车身外饰,外观,装配/前保面差,前保险杠面差,83,0,56,29488
总装,202608,电器,功能性能,装配/搭铁,中控箱搭铁无固定孔,762,161,536,29488
总装,202608,电器,功能性能,电检/清码,清码不合格,349,116,195,29488
总装,202608,电器,功能性能,电检/初始化,IBCU初始化不合格,320,96,201,29488
总装,202608,电器,功能性能,电检/车机,车机旋转不到位,93,32,52,29488
总装,202608,电器,功能性能,电检/以太网,以太网故障,105,38,64,29488
总装,202608,电器,功能性能,电检/安规,安规无法测试,112,36,67,29488
总装,202608,车辆工程,功能性能,装配/未装,零部件未装,168,58,100,29488
总装,202608,车辆工程,功能性能,装配/扭矩,紧固扭矩不足,169,52,90,29488
出厂,202605,底盘,功能性能,底盘/制动,制动跑偏,90,131,57,29355
出厂,202605,底盘,功能性能,底盘/ABS,ABS报警,86,102,45,29355
出厂,202605,电器,功能性能,电器/灯光,前大灯不亮,211,364,117,29355
出厂,202605,电器,功能性能,电器/传感器,雷达未标定,138,201,72,29355
出厂,202605,车辆工程,功能性能,出厂/路试,路试异响,116,198,66,29355
出厂,202605,车身外饰,外观,外观/面差,整车面差,104,0,55,29355
出厂,202605,涂装,外观,涂装/色差,出厂发现色差,52,0,29,29355
出厂,202606,底盘,功能性能,底盘/制动,制动跑偏,78,111,49,28855
出厂,202606,底盘,功能性能,底盘/ABS,ABS报警,86,203,61,28855
出厂,202606,底盘,功能性能,底盘/异响,行驶系异响,160,288,85,28855
出厂,202606,底盘,功能性能,底盘/跑偏,车辆跑偏,47,95,32,28855
出厂,202606,电器,功能性能,电器/传感器,雷达未标定,41,94,25,28855
出厂,202606,车辆工程,功能性能,出厂/路试,路试异响,145,326,98,28855
出厂,202606,车身外饰,外观,外观/间隙,前保间隙,59,0,38,28855
出厂,202607,底盘,功能性能,底盘/制动,制动跑偏,63,96,34,29101
出厂,202607,底盘,功能性能,底盘/异响,行驶系异响,68,171,48,29101
出厂,202607,电器,功能性能,电器/灯光,前大灯不亮,130,224,76,29101
出厂,202607,电器,功能性能,电器/传感器,雷达未标定,103,177,64,29101
出厂,202607,电器,功能性能,电器/电检,电检功能测试异常,128,215,78,29101
出厂,202607,车辆工程,功能性能,出厂/路试,路试异响,118,309,81,29101
出厂,202607,车身外饰,外观,外观/面差,整车面差,98,0,61,29101
出厂,202607,车身外饰,外观,外观/间隙,前保间隙,41,0,23,29101
出厂,202607,车身内饰,外观,内饰/异响,内饰异响,48,0,33,29101
出厂,202607,涂装,外观,涂装/色差,出厂发现色差,83,0,56,29101
出厂,202608,底盘,功能性能,底盘/ABS,ABS报警,181,303,110,30061
出厂,202608,电器,功能性能,电器/灯光,前大灯不亮,265,421,186,30061
出厂,202608,电器,功能性能,电器/电检,电检功能测试异常,249,440,169,30061
出厂,202608,车身外饰,外观,外观/面差,整车面差,188,0,132,30061
出厂,202608,车身外饰,外观,外观/间隙,前保间隙,104,0,61,30061
出厂,202608,涂装,外观,涂装/色差,出厂发现色差,123,0,74,30061
